age,income,city,churned
70,250048.44,Delhi,0
57,80634.89,Pune,0
49,7976.59,Bangalore,1
34,6429.47,Bangalore,1
37,145970.41,Pune,0
20,47435.76,Pune,1
22,14616.64,Mumbai,1
19,37708.02,Mumbai,1
28,910.98,Delhi,1
68,14394.59,Mumbai,1
58,10841.78,Mumbai,1
74,76289.32,Mumbai,0
49,9330.17,Delhi,1
55,23155.82,Delhi,1
78,25048.23,Mumbai,0
63,53656.03,Mumbai,0
57,10153.82,Delhi,0
51,156440.87,Delhi,0
52,1180.27,Pune,1
75,117080.32,Delhi,1
35,36055.85,Pune,0
68,27251.92,Mumbai,1
59,28508.51,Pune,0
18,270534.69,Delhi,0
42,2639.68,Mumbai,1
71,16811.98,Bangalore,0
52,54637.02,Mumbai,0
20,22449.52,Delhi,1
65,24723.91,Pune,1
63,2047.55,Bangalore,0
70,7359.77,Pune,0
28,44467.81,Mumbai,1
23,5245.1,Bangalore,0
71,8067.63,Mumbai,0
19,60312.98,Bangalore,1
51,7.0,Delhi,1
22,3316.55,Pune,0
36,5266.03,Bangalore,0
47,46781.93,Bangalore,0
44,582.56,Pune,0
43,73674.49,Pune,1
19,19934.03,Delhi,1
18,38532.1,Bangalore,0
25,12460.39,Pune,1
18,33382.49,Bangalore,1
59,7917.7,Mumbai,0
50,39785.27,Mumbai,0
58,113040.78,Mumbai,0
33,5666.28,Pune,1
56,20069.3,Delhi,0
65,70760.29,Mumbai,0
41,24036.4,Mumbai,1
46,9812.59,Mumbai,1
79,44735.27,Bangalore,0
67,159416.06,Delhi,1
78,36847.45,Delhi,1
41,7517.1,Bangalore,1
60,6340.27,Bangalore,0
76,14850.94,Mumbai,0
58,31943.7,Mumbai,0
70,9110.1,Bangalore,0
60,62637.98,Delhi,0
61,31402.96,Mumbai,0
42,5642.14,Pune,0
72,7831.69,Delhi,0
26,3001.11,Delhi,1
53,13075.28,Pune,1
62,8007.02,Delhi,1
70,37940.86,Pune,0
50,14823.95,Mumbai,0
41,14102.36,Delhi,1
37,16445.65,Pune,1
44,3945.49,Bangalore,0
48,92444.66,Mumbai,0
62,2605.89,Pune,0
73,22229.09,Bangalore,0
22,43555.33,Pune,1
75,10697.84,Pune,0
50,2747.46,Mumbai,1
40,41401.4,Pune,0
59,34081.67,Delhi,0
53,40741.71,Mumbai,1
33,2771.65,Mumbai,1
37,44323.51,Bangalore,1
62,12464.41,Mumbai,0
54,37729.92,Delhi,1
49,15222.21,Bangalore,1
38,149524.53,Delhi,0
65,17008.21,Pune,0
42,3106.95,Mumbai,1
38,97936.97,Pune,1
73,125089.53,Mumbai,0
34,27028.74,Pune,1
32,31994.98,Pune,1
62,84000.6,Mumbai,0
56,44852.83,Mumbai,1
21,129586.02,Bangalore,1
23,79640.58,Delhi,1
41,35876.63,Delhi,0
69,69540.58,Pune,0
42,111413.49,Bangalore,1
66,9712.57,Mumbai,0
37,162535.48,Bangalore,1
32,114963.54,Pune,1
67,41932.16,Pune,1
72,9625.29,Delhi,0
22,104739.51,Delhi,0
21,48604.62,Mumbai,1
59,39333.56,Pune,0
38,5112.79,Pune,1
53,1474.34,Pune,0
27,26582.47,Pune,1
71,39726.37,Bangalore,0
45,159280.87,Bangalore,1
73,18609.79,Bangalore,1
67,118571.88,Delhi,0
61,15303.16,Mumbai,0
32,129993.26,Bangalore,0
65,38355.98,Delhi,0
21,227181.36,Bangalore,0
53,53819.03,Pune,1
43,28155.94,Mumbai,0
79,142843.45,Pune,0
30,25969.18,Mumbai,0
76,76295.4,Delhi,0
23,9348.89,Delhi,1
56,8786.98,Mumbai,1
53,25213.17,Bangalore,0
73,14815.51,Pune,0
36,87817.45,Mumbai,0
73,40876.67,Bangalore,1
59,76852.48,Mumbai,0
73,13494.79,Delhi,0
30,53207.04,Delhi,1
65,72250.73,Delhi,1
76,20366.02,Pune,1
21,64913.44,Mumbai,1
40,36458.1,Delhi,1
57,29893.62,Mumbai,0
24,4667.25,Mumbai,1
49,12228.88,Pune,0
57,17827.37,Mumbai,1
65,91607.37,Pune,0
75,92143.08,Delhi,0
43,2713.66,Mumbai,0
45,48943.24,Bangalore,0
47,84448.61,Mumbai,0
77,19184.22,Bangalore,1
30,11551.25,Delhi,1
48,35977.48,Bangalore,1
21,14814.54,Pune,1
44,85835.57,Pune,0
76,121197.53,Mumbai,0
56,100506.08,Bangalore,1
39,118784.03,Pune,0
79,29182.74,Pune,1
55,39500.22,Mumbai,0
76,6076.91,Delhi,1
19,81897.04,Pune,0
46,51972.59,Bangalore,1
69,75874.82,Bangalore,0
64,60583.12,Pune,0
43,26450.38,Bangalore,0
48,36034.55,Delhi,1
44,14742.97,Bangalore,1
50,10105.97,Bangalore,0
32,22441.54,Delhi,1
66,20275.18,Delhi,1
22,13466.79,Delhi,1
43,52448.67,Pune,0
35,18268.54,Mumbai,1
63,58393.0,Mumbai,0
64,48716.54,Pune,0
62,10647.66,Delhi,1
75,32937.36,Bangalore,1
75,66524.07,Mumbai,0
29,23993.91,Bangalore,1
25,8265.71,Delhi,1
26,64511.41,Delhi,0
63,20194.2,Mumbai,0
78,18935.84,Delhi,0
75,15905.88,Bangalore,0
59,161221.45,Bangalore,0
78,117060.94,Delhi,0
72,24429.75,Mumbai,1
18,88077.92,Mumbai,0
25,5495.75,Pune,1
71,58219.59,Mumbai,0
23,64518.14,Mumbai,1
78,60385.05,Delhi,0
69,44230.93,Bangalore,1
77,4535.07,Bangalore,1
40,12236.88,Bangalore,1
27,131533.27,Delhi,0
50,38595.56,Mumbai,0
78,78086.31,Mumbai,1
40,35360.92,Delhi,1
73,52392.2,Bangalore,0
41,15045.17,Pune,1
68,60417.68,Pune,1
32,40833.46,Mumbai,0
47,28414.8,Bangalore,1
38,44704.37,Pune,0
32,38425.26,Delhi,1
73,6697.28,Mumbai,1
67,35314.1,Delhi,1
26,84732.4,Mumbai,0
75,52777.98,Pune,0
78,12543.27,Mumbai,0
34,24071.84,Delhi,1
44,25018.22,Delhi,1
51,11672.73,Mumbai,1
58,12274.16,Pune,1
45,24017.02,Pune,1
27,40586.39,Bangalore,1
75,5604.22,Pune,1
60,18295.92,Delhi,0
20,146706.9,Mumbai,0
68,51293.81,Mumbai,0
63,3964.65,Bangalore,1
29,71160.58,Delhi,1
56,13730.09,Pune,0
49,42603.94,Mumbai,0
19,47288.58,Pune,0
75,1911.71,Pune,1
62,36358.34,Pune,0
37,86887.63,Mumbai,0
18,68048.27,Delhi,0
23,7465.11,Mumbai,1
64,1402.92,Delhi,1
27,3886.08,Pune,1
49,7627.96,Pune,1
73,9700.8,Mumbai,0
75,2359.27,Delhi,1
34,101978.66,Bangalore,1
22,4964.42,Bangalore,1
48,40744.51,Delhi,0
70,5924.27,Delhi,0
56,100686.48,Pune,0
22,12312.4,Delhi,0
58,2931.17,Delhi,0
39,11163.9,Bangalore,0
32,89621.74,Bangalore,1
44,30730.27,Mumbai,1
72,11461.91,Delhi,0
77,76972.88,Mumbai,0
26,64578.73,Bangalore,1
52,44978.96,Mumbai,0
65,75342.83,Mumbai,1
34,10952.03,Bangalore,1
34,50517.76,Bangalore,1
32,86119.04,Bangalore,0
30,52419.41,Delhi,1
73,135535.03,Mumbai,0
31,22136.59,Pune,0
32,9810.88,Pune,0
25,17796.48,Pune,1
25,10554.15,Pune,1
66,1152.36,Bangalore,1
35,141783.58,Bangalore,1
67,9648.79,Pune,1
54,9302.22,Mumbai,1
71,16860.89,Pune,1
52,1860.68,Mumbai,0
65,321216.57,Pune,0
68,29159.43,Mumbai,0
21,9034.15,Pune,1
52,101488.25,Mumbai,0
46,39887.36,Mumbai,1
35,42486.49,Delhi,0
46,807.19,Pune,1
43,1261.02,Mumbai,1
48,8470.57,Mumbai,0
68,19328.49,Pune,0
69,151649.11,Mumbai,0
56,25381.32,Delhi,1
62,132492.98,Delhi,0
77,19907.39,Mumbai,0
57,33853.71,Delhi,1
40,9036.03,Pune,1
23,6280.28,Bangalore,1
52,106543.92,Bangalore,1
32,12587.38,Delhi,0
54,102159.15,Bangalore,1
19,12427.34,Pune,1
70,101236.66,Mumbai,0
76,8050.26,Bangalore,1
27,30815.09,Delhi,0
68,50475.8,Mumbai,0
43,5645.19,Bangalore,1
20,66048.29,Mumbai,0
