id,age,income,city,signup_date,notes,churned
1,62,43910.75,Pune,2022-01-01,customer feedback text goes here number 0 with several words,0
2,65,163424.81,Pune,2022-01-02,customer feedback text goes here number 1 with several words,0
3,71,17275.98,Mumbai,2022-01-03,customer feedback text goes here number 2 with several words,0
4,18,13776.4,Delhi,2022-01-04,customer feedback text goes here number 3 with several words,0
5,21,5284.36,Delhi,2022-01-05,customer feedback text goes here number 4 with several words,1
6,77,828.3,Delhi,2022-01-06,customer feedback text goes here number 5 with several words,0
7,21,132627.92,Pune,2022-01-07,customer feedback text goes here number 6 with several words,1
8,57,55420.49,Bangalore,2022-01-08,customer feedback text goes here number 7 with several words,0
9,27,76891.44,Bangalore,2022-01-09,customer feedback text goes here number 8 with several words,0
10,37,16545.49,Pune,2022-01-10,customer feedback text goes here number 9 with several words,1
11,39,44144.03,Bangalore,2022-01-11,customer feedback text goes here number 10 with several words,0
12,68,3304.6,Mumbai,2022-01-12,customer feedback text goes here number 11 with several words,1
13,54,33240.39,Bangalore,2022-01-13,customer feedback text goes here number 12 with several words,1
14,41,189701.2,Pune,2022-01-14,customer feedback text goes here number 13 with several words,0
15,24,104577.83,Bangalore,2022-01-15,customer feedback text goes here number 14 with several words,0
16,42,20636.49,Mumbai,2022-01-16,customer feedback text goes here number 15 with several words,1
17,42,162946.04,Bangalore,2022-01-17,customer feedback text goes here number 16 with several words,1
18,30,13178.86,Bangalore,2022-01-18,customer feedback text goes here number 17 with several words,1
19,76,149110.03,Mumbai,2022-01-19,customer feedback text goes here number 18 with several words,0
20,19,141832.01,Delhi,2022-01-20,customer feedback text goes here number 19 with several words,0
21,56,80272.94,Mumbai,2022-01-21,customer feedback text goes here number 20 with several words,0
22,57,49773.18,Bangalore,2022-01-22,customer feedback text goes here number 21 with several words,1
23,41,103688.07,Delhi,2022-01-23,customer feedback text goes here number 22 with several words,0
24,64,17337.67,Delhi,2022-01-24,customer feedback text goes here number 23 with several words,1
25,42,94505.09,Pune,2022-01-25,customer feedback text goes here number 24 with several words,1
26,35,48100.6,Pune,2022-01-26,customer feedback text goes here number 25 with several words,1
27,55,666.26,Mumbai,2022-01-27,customer feedback text goes here number 26 with several words,1
28,43,21326.79,Mumbai,2022-01-28,customer feedback text goes here number 27 with several words,1
29,31,8016.7,Mumbai,2022-01-29,customer feedback text goes here number 28 with several words,1
30,26,200397.49,Bangalore,2022-01-30,customer feedback text goes here number 29 with several words,0
31,27,32539.87,Mumbai,2022-01-31,customer feedback text goes here number 30 with several words,0
32,38,,Pune,2022-02-01,customer feedback text goes here number 31 with several words,1
33,69,51009.35,Mumbai,2022-02-02,customer feedback text goes here number 32 with several words,0
34,34,22989.57,Delhi,2022-02-03,customer feedback text goes here number 33 with several words,0
35,69,7361.25,Pune,2022-02-04,customer feedback text goes here number 34 with several words,0
36,23,86331.67,Delhi,2022-02-05,customer feedback text goes here number 35 with several words,1
37,33,10526.66,Bangalore,2022-02-06,customer feedback text goes here number 36 with several words,1
38,65,35802.27,Mumbai,2022-02-07,customer feedback text goes here number 37 with several words,0
39,18,12700.57,Pune,2022-02-08,customer feedback text goes here number 38 with several words,1
40,36,5148.42,Delhi,2022-02-09,customer feedback text goes here number 39 with several words,1
41,53,99094.52,Pune,2022-02-10,customer feedback text goes here number 40 with several words,1
42,42,180447.05,Delhi,2022-02-11,customer feedback text goes here number 41 with several words,0
43,67,161998.15,Pune,2022-02-12,customer feedback text goes here number 42 with several words,0
44,69,118519.38,Delhi,2022-02-13,customer feedback text goes here number 43 with several words,1
45,47,74371.49,Bangalore,2022-02-14,customer feedback text goes here number 44 with several words,1
46,37,20259.14,Delhi,2022-02-15,customer feedback text goes here number 45 with several words,1
47,37,4228.97,Delhi,2022-02-16,customer feedback text goes here number 46 with several words,1
48,32,,Pune,2022-02-17,customer feedback text goes here number 47 with several words,1
49,57,13213.52,Delhi,2022-02-18,customer feedback text goes here number 48 with several words,1
50,50,7106.28,Delhi,2022-02-19,customer feedback text goes here number 49 with several words,1
51,19,2745.37,Mumbai,2022-02-20,customer feedback text goes here number 50 with several words,0
52,27,64657.39,Delhi,2022-02-21,customer feedback text goes here number 51 with several words,0
53,75,574.66,Mumbai,2022-02-22,customer feedback text goes here number 52 with several words,1
54,50,73610.21,Pune,2022-02-23,customer feedback text goes here number 53 with several words,0
55,49,7946.66,Delhi,2022-02-24,customer feedback text goes here number 54 with several words,0
56,28,4143.11,Bangalore,2022-02-25,customer feedback text goes here number 55 with several words,1
57,70,4693.73,Pune,2022-02-26,customer feedback text goes here number 56 with several words,0
58,41,55744.37,Bangalore,2022-02-27,customer feedback text goes here number 57 with several words,0
59,53,14076.2,Mumbai,2022-02-28,customer feedback text goes here number 58 with several words,0
60,29,27282.89,Mumbai,2022-03-01,customer feedback text goes here number 59 with several words,1
61,68,40750.92,Bangalore,2022-03-02,customer feedback text goes here number 60 with several words,1
62,73,98502.88,Bangalore,2022-03-03,customer feedback text goes here number 61 with several words,0
63,46,64922.28,Bangalore,2022-03-04,customer feedback text goes here number 62 with several words,1
64,52,15758.0,Pune,2022-03-05,customer feedback text goes here number 63 with several words,1
65,18,7048.39,Bangalore,2022-03-06,customer feedback text goes here number 64 with several words,1
66,18,2848.33,Delhi,2022-03-07,customer feedback text goes here number 65 with several words,1
67,54,,Pune,2022-03-08,customer feedback text goes here number 66 with several words,1
68,71,,Mumbai,2022-03-09,customer feedback text goes here number 67 with several words,1
69,23,30453.22,Bangalore,2022-03-10,customer feedback text goes here number 68 with several words,1
70,56,57487.07,Mumbai,2022-03-11,customer feedback text goes here number 69 with several words,0
71,58,59474.81,Delhi,2022-03-12,customer feedback text goes here number 70 with several words,0
72,70,16670.17,Bangalore,2022-03-13,customer feedback text goes here number 71 with several words,1
73,35,23895.9,Mumbai,2022-03-14,customer feedback text goes here number 72 with several words,0
74,33,9992.78,Delhi,2022-03-15,customer feedback text goes here number 73 with several words,1
75,22,77687.27,Bangalore,2022-03-16,customer feedback text goes here number 74 with several words,0
76,59,2926.4,Delhi,2022-03-17,customer feedback text goes here number 75 with several words,1
77,60,59700.67,Bangalore,2022-03-18,customer feedback text goes here number 76 with several words,0
78,76,75410.76,Delhi,2022-03-19,customer feedback text goes here number 77 with several words,0
79,49,75120.64,Mumbai,2022-03-20,customer feedback text goes here number 78 with several words,0
80,74,15016.25,Pune,2022-03-21,customer feedback text goes here number 79 with several words,0
81,19,23405.32,Bangalore,2022-03-22,customer feedback text goes here number 80 with several words,0
82,19,44288.03,Bangalore,2022-03-23,customer feedback text goes here number 81 with several words,1
83,57,15929.19,Pune,2022-03-24,customer feedback text goes here number 82 with several words,1
84,59,23169.5,Mumbai,2022-03-25,customer feedback text goes here number 83 with several words,0
85,75,10973.41,Bangalore,2022-03-26,customer feedback text goes here number 84 with several words,0
86,53,30795.96,Pune,2022-03-27,customer feedback text goes here number 85 with several words,1
87,56,2281.9,Pune,2022-03-28,customer feedback text goes here number 86 with several words,1
88,73,80420.89,Mumbai,2022-03-29,customer feedback text goes here number 87 with several words,0
89,29,4003.94,Pune,2022-03-30,customer feedback text goes here number 88 with several words,1
90,64,36577.27,Bangalore,2022-03-31,customer feedback text goes here number 89 with several words,0
91,36,,Mumbai,2022-04-01,customer feedback text goes here number 90 with several words,1
92,45,43083.37,Delhi,2022-04-02,customer feedback text goes here number 91 with several words,1
93,18,160240.44,Delhi,2022-04-03,customer feedback text goes here number 92 with several words,0
94,32,51862.26,Bangalore,2022-04-04,customer feedback text goes here number 93 with several words,0
95,53,1800.14,Pune,2022-04-05,customer feedback text goes here number 94 with several words,0
96,71,28141.26,Mumbai,2022-04-06,customer feedback text goes here number 95 with several words,0
97,30,35669.21,Delhi,2022-04-07,customer feedback text goes here number 96 with several words,1
98,75,38412.67,Mumbai,2022-04-08,customer feedback text goes here number 97 with several words,0
99,60,57189.77,Bangalore,2022-04-09,customer feedback text goes here number 98 with several words,0
100,38,16258.54,Bangalore,2022-04-10,customer feedback text goes here number 99 with several words,1
101,29,6897.66,Mumbai,2022-04-11,customer feedback text goes here number 100 with several words,1
102,22,24934.62,Mumbai,2022-04-12,customer feedback text goes here number 101 with several words,0
