customer_id,home_region,device_fingerprint,measure_a,measure_b,measure_c,converted
C0000,south,-0.7021,0.0006,-0.5464,-0.7424,0
C0000,south,-0.695,-0.0092,0.546,-0.1039,0
C0000,south,-0.6919,-0.0006,-0.654,-0.948,0
C0000,south,-0.6968,-0.0043,0.211,-0.0044,0
C0000,south,-0.708,0.0019,-1.2081,-0.6165,0
C0001,west,-0.3296,0.278,0.2019,0.151,1
C0001,west,-0.3283,0.2945,-0.2167,-0.9765,1
C0001,west,-0.3294,0.2932,0.202,-1.2041,1
C0001,west,-0.3243,0.3002,-0.0079,-0.4392,1
C0001,west,-0.3212,0.2821,0.5339,0.243,1
C0002,south,-0.5574,-0.2703,-0.6979,-0.2595,1
C0002,south,-0.5539,-0.2698,0.0764,-1.5143,1
C0002,south,-0.5549,-0.2624,0.799,0.2339,1
C0002,south,-0.5758,-0.2647,-0.2422,-2.5325,1
C0002,south,-0.5565,-0.2891,-1.2765,-0.635,1
C0003,east,0.0207,-0.8943,-0.1123,1.748,0
C0003,east,0.0239,-0.8916,-0.5736,-1.2609,0
C0003,east,0.001,-0.8863,-0.0001,0.1102,0
C0003,east,0.0179,-0.8983,-0.4067,0.7312,0
C0003,east,0.0138,-0.8799,0.0011,-0.3094,0
C0004,north,-0.3716,-0.4647,-1.6574,0.5807,1
C0004,north,-0.3758,-0.4516,-1.7098,-0.3651,1
C0004,north,-0.3813,-0.4633,-2.2114,-0.3349,1
C0004,north,-0.3663,-0.4509,-0.7227,-0.0149,1
C0004,north,-0.3677,-0.4823,-0.294,0.5432,1
C0005,south,-0.2931,-0.9746,0.6249,0.3126,1
C0005,south,-0.2969,-0.9838,-0.8821,-0.0402,1
C0005,south,-0.2909,-0.9721,-0.54,-0.0484,1
C0005,south,-0.2979,-0.9782,-0.4239,1.4694,1
C0005,south,-0.3096,-0.9935,-0.575,0.7865,1
C0006,south,-1.3681,0.045,-0.7995,0.3369,1
C0006,south,-1.3852,0.0449,0.9587,0.494,1
C0006,south,-1.3736,0.0554,0.9501,-0.24,1
C0006,south,-1.3676,0.051,-0.7447,0.2047,1
C0006,south,-1.3856,0.0669,0.2581,-0.923,1
C0007,east,-0.8061,1.3367,1.3603,-0.6326,0
C0007,east,-0.8112,1.3523,2.5508,1.999,0
C0007,east,-0.8062,1.3424,1.9162,-0.1244,0
C0007,east,-0.8166,1.3414,0.9425,-0.8291,0
