account_id,account_age_days,n_transactions,avg_amount,region,device_type,prior_disputes,is_fraud
A00000,2556,36,201.53,east,mobile,0,0
A00001,1921,44,46.66,south,mobile,2,0
A00002,1548,30,143.43,north,mobile,0,0
A00003,831,41,7.23,south,mobile,1,0
A00004,944,25,25.67,east,mobile,0,0
A00005,151,54,17.6,west,mobile,0,0
A00006,253,39,42.64,south,mobile,0,0
A00007,79,48,109.2,east,web,0,0
A00008,550,48,33.39,north,mobile,1,0
A00009,2445,48,17.81,south,mobile,0,0
A00010,1958,46,128.12,north,mobile,0,0
A00011,2740,40,27.5,west,mobile,0,0
A00012,1525,31,69.78,east,mobile,0,0
A00013,1831,36,30.01,south,mobile,0,0
A00014,2913,34,86.96,west,mobile,0,0
A00015,2196,43,38.66,north,mobile,0,0
A00016,1907,41,111.68,south,mobile,0,0
A00017,1644,47,95.48,north,mobile,1,0
A00018,1692,42,403.08,west,mobile,0,0
A00019,2807,44,50.8,north,mobile,0,0
A00020,853,32,22.7,south,mobile,0,0
A00021,2453,39,19.2,north,mobile,2,0
A00022,2022,45,31.89,east,mobile,0,0
A00023,38,46,76.54,south,mobile,0,0
A00024,1200,40,28.72,west,web,1,0
A00025,2576,35,214.23,east,mobile,1,0
A00026,1676,45,65.38,east,mobile,0,0
A00027,129,42,22.66,north,mobile,0,0
A00028,2301,41,35.99,north,mobile,0,0
A00029,2197,36,30.74,south,mobile,0,0
A00030,2544,45,64.1,north,mobile,0,0
A00031,551,44,21.7,north,web,0,0
A00032,295,42,173.08,south,mobile,0,0
A00033,2593,53,39.62,north,mobile,2,0
A00034,95,34,44.1,north,mobile,0,0
A00035,1638,50,125.32,south,mobile,0,0
A00036,268,35,27.84,east,mobile,0,0
A00037,920,47,54.53,north,mobile,0,0
A00038,1458,35,273.96,west,mobile,0,0
A00039,1285,41,79.05,north,web,1,0
A00040,1227,35,71.13,south,web,1,0
A00041,114,42,35.56,south,web,1,0
A00042,45,29,22.31,south,mobile,0,0
A00043,399,48,263.47,south,mobile,0,0
A00044,54,37,47.27,north,mobile,0,0
A00045,2021,38,301.33,south,web,1,0
A00046,1591,41,29.5,east,mobile,0,0
A00047,1952,44,168.93,north,web,0,0
A00048,794,42,45.39,west,mobile,1,0
A00049,1857,43,79.45,north,web,1,0
A00050,2299,38,163.21,east,web,0,0
A00051,1169,42,81.24,south,mobile,0,0
A00052,1398,43,112.43,north,web,0,0
A00053,2991,40,13.37,east,web,1,0
A00054,2420,54,36.07,east,api,0,0
A00055,2943,43,343.85,south,mobile,0,0
A00056,1157,48,44.42,south,mobile,1,0
A00057,2066,40,72.73,east,mobile,0,0
