date,sales,promo_flag
2023-01-01,100.74,0
2023-01-02,100.71,0
2023-01-03,100.64,0
2023-01-04,101.77,0
2023-01-05,102.81,0
2023-01-06,102.96,0
2023-01-07,103.1,0
2023-01-08,103.58,0
2023-01-09,102.82,0
2023-01-10,104.09,0
2023-01-11,105.17,0
2023-01-12,105.32,0
2023-01-13,105.67,0
2023-01-14,106.07,0
2023-01-15,106.17,0
2023-01-16,105.08,0
2023-01-17,105.29,0
2023-01-18,105.59,0
2023-01-19,105.94,0
2023-01-20,105.88,0
2023-01-21,105.09,0
2023-01-22,103.9,0
2023-01-23,102.56,0
2023-01-24,101.95,0
2023-01-25,102.98,0
2023-01-26,102.1,0
2023-01-27,101.8,0
2023-01-28,103.55,0
2023-01-29,104.69,0
2023-01-30,102.87,0
2023-01-31,105.29,0
2023-02-01,106.9,0
2023-02-02,105.45,0
2023-02-03,107.05,0
2023-02-04,106.31,0
2023-02-05,107.12,0
2023-02-06,107.44,0
2023-02-07,107.55,0
2023-02-08,107.66,0
2023-02-09,106.69,0
2023-02-10,105.35,0
2023-02-11,106.01,0
2023-02-12,106.23,0
2023-02-13,106.96,0
2023-02-14,107.7,0
2023-02-15,106.97,0
2023-02-16,107.1,0
2023-02-17,106.16,0
2023-02-18,106.33,1
2023-02-19,105.47,0
2023-02-20,106.24,0
2023-02-21,104.97,0
2023-02-22,105.17,0
2023-02-23,106.99,0
2023-02-24,108.05,0
2023-02-25,108.59,0
2023-02-26,109.05,0
2023-02-27,110.26,0
2023-02-28,108.04,0
2023-03-01,106.87,0
2023-03-02,107.25,0
2023-03-03,107.95,0
2023-03-04,108.22,0
2023-03-05,106.92,0
2023-03-06,107.26,0
2023-03-07,107.61,0
2023-03-08,107.06,0
2023-03-09,107.05,0
2023-03-10,106.93,0
2023-03-11,106.48,1
2023-03-12,105.26,0
2023-03-13,105.74,1
2023-03-14,107.97,0
2023-03-15,108.72,0
2023-03-16,108.53,0
2023-03-17,106.98,0
2023-03-18,108.56,0
2023-03-19,108.51,0
2023-03-20,107.97,0
2023-03-21,110.18,1
2023-03-22,109.63,0
2023-03-23,111.61,0
2023-03-24,113.71,0
2023-03-25,114.05,0
2023-03-26,114.57,0
2023-03-27,114.0,1
2023-03-28,114.26,0
2023-03-29,114.31,0
2023-03-30,114.13,0
2023-03-31,112.62,0
2023-04-01,112.84,0
2023-04-02,113.71,0
